2acca2d5d35e41ab_3ed9aea014ce4056,0,53,56
5aa6cbe2493d4353_ce9f012a7b0141b7,0,31,36
cd2a8082020f458b_791e4cbff4b343ce,0,45,52
49d14d52a7304780_beb7328f25e44a6a,0,37,40
2a4c384ed93c4228_2bb42f3c475e453b,0,56,60
8aab2700063f4fc3_eff6d8bd5de24571,0,9,10
9db5c9c1d2a34a57_b020b4471e054f9d,0,79,81
4172f2fd5b674038_3c0f84627cf64dbc,0,40,41
b2602c4a4d474848_e94297613e914ea9,0,24,25
9315b727848f4ae9_790a7528fb49492f,0,25,29
82436921433542ec_afe75a55953c47a4,0,28,29
55cc44842d5641b4_265630f2202840c8,0,44,51
23c9f25c9c144c12_418ece452eb347ff,0,17,24
56d6ac9a513c449c_5c54b0e0bd8c4509,0,48,51
db7860da30184d8f_d270f5cebb93461c,0,7,14
9549d4f7a8e34e55_5e970a85d9454a32,0,63,66
b6104da365b9464f_cd2a8082020f458b,0,39,45
05e0eaf14f64419d_1108b546181841f2,0,71,76
21f2bf3213da44dc_1986f6eb79b84743,0,61,65
3d92d1558a54496d_46e149e29f644688,1,2,2
200802afcb634cae_7f480b20024749a3,0,54,63
8ab6a1441f314888_5468ce1bf0cf4592,0,57,62
6368840540674c02_b2de19dd0a454dd1,0,28,36
3adca6b21fa140a0_7472c37d65d547ef,0,60,65
3e60ae3e1b264a7a_0ce05655a3fd42c8,0,18,20
639884ffc1e74a61_ddd2bcd46bbd4944,0,32,36
b5e8d07139124556_b06e88d8379d4275,0,5,15
db4236da09834084_bac16d5e39a746ee,0,66,71
ff4d223c97764789_e5a6f802f5e64568,0,62,68
eff6d8bd5de24571_f459f7e5264949de,0,10,13
dc758c5a796e4ae7_eb6ba2530ff747b9,1,20,20
fab649b95981453c_eb6ba2530ff747b9,0,13,20
a6dbf57274c5409e_d19be6240f6f4ea2,0,37,44
521fc4d31d2d4d47_2e30b20b92404410,0,65,69
03cd22f2f70b4e15_2a84d6f79cc244b6,0,50,60
7b69fb959e9047bf_8ee789571f0b47b4,0,43,44
349ddce4fee54f48_52329523b30b4b53,0,32,42
0fa5fcd8184c4131_1b0cf023a8914b6e,0,26,35
f014f508a70b48f9_e0b0f6e08adc4b9a,0,4,5
8ba997551c1e4203_86f551765f914a4f,0,67,71
b2de19dd0a454dd1_71d84aa9a99c458c,0,36,45
0eae2029d0a64495_64ee3b3295384dc3,0,17,25
2802b008901e412b_1e1b0690c3b14335,0,68,76
a4eb3f2ce31b4099_458a038f975f4819,0,8,17
8ba997551c1e4203_791cc189ec1040b2,0,67,72
83bc0fe07c074d30_8773ed704ef54cc9,0,16,25
bfd7e6f5f04640f2_fac3899658fa4031,0,11,15
fd5b04e4c8174449_d7bda704495243c1,0,39,48
7b06e1346f924506_9139904079c54248,1,17,17
85513c98adb84518_a7db9caf9d124137,0,65,69
c344cbc359aa4dc6_d352bf1ca2c14a64,0,29,38
8e557b77afea4aba_c58ad7ef8ef246cc,0,3,7
a49520a505fb441b_a814031203324a31,1,76,76
c886af5e11604f3b_820c051c78ba4207,0,70,72
9bd3015d852c4590_afe75a55953c47a4,0,19,29
3b51ecc7036a44e4_40876c9c57e74b99,0,63,66
e3885150dfeb4a61_e243691ce6334550,0,36,40
2d1ac1aec3e64605_5b840d747080443c,0,5,15
54b40a2e5a474830_833790c481404a94,1,80,80
124a83c5548545b5_205ac9bb856846a3,0,43,51
726d4bc6c96e4036_2e28e49aa7734cd0,0,25,28
378c20c4b7b44690_38bb501b725742f4,0,74,77
bc75cd6915ef4058_697decb4b1614e43,0,8,9
97e1794fe2574504_7b06e1346f924506,0,14,17
7f459190042844e9_b7b1630232884328,0,9,19
7c26fc5228734a0b_6f4e4fcc1ce34987,0,62,72
a7db9caf9d124137_6f4e4fcc1ce34987,0,69,72
9dfa1fa95b4a420a_b06d8b9fc1ef4fdf,1,48,48
6489e519b7e74603_746dbdda7df3457f,0,66,75
f9c98ce8bd2c4505_ea5864a28f2a40c7,0,51,57
05d5ca10443a4bc8_0e950dc6b9374fec,0,28,34
8c045b7862d04de5_5bb274b70ad6447b,0,59,68
b22b01beb97b4e8b_ce15da2508644f0c,0,0,7
946ed1e1d78c40ca_9c5ee9bbac4348f9,0,18,24
616eac63738549ad_7523b304d3f244c6,0,30,38
085073abb9f44aee_061e6c25c0234f63,0,73,82
5b840d747080443c_747dae15f36b47a6,0,15,22
c74b22d41bff46e4_cf3578071284482a,0,22,23
a49520a505fb441b_50776148dae7424d,0,76,79
c40e48cae2a0410f_e4791cc09e9e4022,0,20,25
fcb7e064fde341aa_d1363977f8284a65,0,53,58
b7c5148c59a044a4_cb10d134813e4b51,0,59,60
3a017d13858e4e68_2c5e0a2469b844e8,0,6,15
3c0f84627cf64dbc_56c4d1f8eb564f6a,0,41,45
94c5acd5a383416b_6c4221695b4a4c69,0,64,71
6c7c5922cc774455_6eeba6f194f740af,0,28,34
