name,if,else,loop,add,sub,mul,div,and,or,not,bigger,smaller,equal,dot,long,double,int,char,unsigned,void,str,num,label
8c2d2a45b8714a2d,2,0,3,12,4,1,0,0,0,0,2,3,9,0,0,0,8,1,0,0,8,4,8
609d8943345646a9,13,0,8,34,15,0,0,13,0,2,4,12,54,1,0,0,6,1,0,0,23,6,62
e9e44083279b49a2,0,0,5,17,10,0,0,0,0,0,0,5,21,0,0,0,13,0,0,0,10,6,80
40479539484e4eda,3,1,2,7,5,3,2,0,0,0,4,9,11,0,0,0,5,0,0,0,0,1,3
acf33282b3294d85,5,5,3,14,0,6,0,1,0,0,0,0,15,0,0,0,1,2,0,0,10,4,82
cada7233076449a5,1,0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,2,0,0,0,4,5,68
fa04dca7b45c4f0e,4,4,0,0,0,0,10,0,0,3,0,0,20,0,0,0,5,0,0,0,22,43,68
6ea7dd83fcde47b1,3,0,8,27,5,0,0,0,0,1,2,8,24,0,0,0,10,0,0,2,10,6,76
99bf817ad0ec461e,1,1,5,12,4,0,0,2,0,0,8,14,7,0,0,0,8,0,0,0,0,6,49
5ee1623a8e64436c,0,0,2,5,4,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,10,3,11
a5a3d5edfa904a6e,7,0,6,18,0,0,0,4,7,3,0,24,61,0,0,0,4,0,0,0,0,61,77
d978c5f8b4cd4465,4,0,4,16,0,0,0,0,0,0,0,3,18,0,0,0,4,2,0,0,14,14,33
15a1db6d281042a8,10,7,1,7,6,0,3,1,1,2,0,1,33,7,0,0,11,0,0,0,34,52,6
a7b0a12abe524b66,4,0,3,7,0,0,0,0,0,1,0,3,14,0,0,0,8,0,0,0,11,4,23
35f9cda8af3c410c,7,0,3,10,0,0,0,0,0,0,2,4,22,0,0,0,7,0,0,0,11,4,0
f5d02ed237cb4cc9,3,0,7,21,1,0,0,0,0,0,0,8,20,0,0,0,10,6,0,0,8,17,72
10a83b7747554019,5,0,5,10,0,0,0,4,8,1,0,23,63,0,0,0,7,1,0,0,5,15,77
4a67ca4fcf04407b,2,0,4,11,3,1,0,0,0,1,2,8,12,0,0,0,5,1,0,0,0,6,61
abc0a287cc164e20,1,0,7,29,6,0,0,0,0,1,0,7,22,0,0,0,7,0,0,0,8,11,69
2f9be4d9022741e6,3,2,1,11,0,0,0,0,0,0,3,1,10,24,0,0,5,0,0,0,20,0,71
139bfc51a56d494a,4,0,6,16,6,2,0,0,0,0,1,7,14,0,0,0,6,0,0,0,16,9,34
1a0b532535e7476f,3,1,3,9,6,3,1,0,0,0,0,5,13,0,0,0,9,0,0,0,4,17,14
4935c4109f594cf4,1,0,6,13,5,0,0,0,0,0,0,10,19,1,0,0,4,3,0,0,0,13,72
9c0b5e708d1a49d1,5,3,3,8,0,1,0,1,1,1,2,3,19,0,0,0,11,1,0,0,18,41,9
f108e48da02b43de,4,0,4,8,0,0,4,0,1,2,4,8,24,0,0,0,8,0,0,0,0,10,47
55c538cc1a6b4c51,5,0,2,4,4,0,0,2,0,2,4,4,13,0,0,0,1,2,0,0,11,4,78
2782d370fbb14476,3,0,3,10,0,0,0,0,0,1,0,3,20,0,0,0,6,4,0,0,4,12,1
cb9e7221d0924a4d,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,3,0,0,6,4,51
fefe3bb6736a4f6d,5,1,2,12,8,2,1,2,2,5,0,12,21,1,0,0,4,2,0,0,0,39,66
0a60fefaab884cd5,5,1,7,23,22,0,1,0,0,4,9,21,23,0,0,0,11,0,0,0,0,1,50
b72b1ab1e9294f92,1,1,1,4,0,1,1,0,2,0,0,1,10,0,0,0,4,0,0,0,4,10,56
130b3d1b2ee04f8c,2,1,3,6,6,0,0,2,2,2,9,14,18,7,0,0,5,0,0,0,28,61,6
b676b81bf90f4284,1,0,4,12,0,6,0,0,0,1,1,3,10,0,0,0,2,4,0,0,10,3,72
70c3173a8c384351,7,4,4,12,16,0,0,0,0,1,2,4,38,0,0,0,8,3,0,0,8,22,31
4b27d56a037d4dd4,2,1,2,8,3,0,0,1,1,1,12,4,20,0,0,0,18,0,0,0,0,46,20
4269d8524bd84eb0,2,0,13,29,15,0,0,0,0,0,1,14,39,0,0,0,23,0,0,3,6,9,37
26d05e484fd74e2e,1,1,1,4,2,0,0,0,0,0,1,0,6,0,0,0,3,2,0,0,8,3,17
e6078311a7a14a58,1,0,4,13,3,0,1,0,0,0,5,4,13,1,0,1,8,0,0,0,4,19,15
398f857093244d2e,2,0,3,7,2,0,0,0,0,0,0,3,10,0,0,0,6,1,0,1,10,8,30
d2eeffc5624e4ba8,5,1,7,28,2,0,0,0,0,0,1,8,28,3,0,4,6,1,0,0,32,15,59
e829e4fef78d45c5,3,1,1,5,2,7,0,3,0,1,2,6,6,1,0,0,1,2,0,0,0,6,57
0e0c3a67a5cc4858,5,5,4,2,22,14,0,1,0,3,24,2,36,0,0,0,3,1,0,1,8,4,45
0aa6b71fae7b4369,5,5,2,6,12,10,7,1,0,0,1,5,18,8,0,9,3,0,0,0,63,43,70
93870e989c954859,3,0,2,6,0,0,0,0,0,1,0,2,11,0,0,0,5,2,0,0,6,7,51
0ea2013cbfb04275,1,0,2,5,2,3,0,0,0,0,1,0,7,0,0,0,2,2,0,0,6,5,43
49ad30f826d240a4,6,0,4,14,0,0,0,4,0,0,8,4,19,26,0,0,8,3,0,0,22,36,44
924189d353b7431c,1,1,9,23,4,0,0,0,1,0,0,11,18,0,0,0,14,0,0,0,10,6,80
eb7f21c5ce8c4406,4,3,1,10,3,4,4,4,0,0,4,5,13,4,0,0,7,0,0,0,54,43,27
0c1141ac9bd94283,1,1,2,6,2,0,0,0,0,2,1,0,9,0,0,0,3,3,0,0,4,12,43
1f538b06aa874f04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,8,2
7847d2c7c2ad480f,2,1,7,17,7,0,0,0,0,0,1,5,23,0,0,0,10,0,0,0,6,10,29
661b9e7e7b8a4246,3,0,3,7,3,0,1,0,0,0,2,11,17,0,0,0,5,0,0,0,0,5,64
c00c7accb41e4096,4,0,5,7,1,0,1,1,0,0,2,5,19,0,0,0,5,0,0,0,10,13,16
f061bbffaaf04085,2,2,1,5,7,2,0,5,0,1,0,2,20,0,0,0,10,0,0,0,26,14,22
3cb97f0ec4ee4050,2,1,3,8,3,1,1,0,0,1,4,6,10,0,0,0,4,0,0,0,0,1,3
986c2dd37a594a3f,6,1,4,7,16,0,1,0,0,2,2,4,30,0,0,0,9,7,0,2,8,39,31
1908a2d12546403d,1,0,4,10,3,1,1,1,0,0,1,5,9,4,0,1,6,0,0,0,54,40,27
8ce09c13921f4e73,4,0,2,4,0,0,0,0,0,1,0,1,11,0,0,0,3,1,0,0,12,3,33
68e0cfd1735046a7,12,5,1,0,0,0,0,3,2,4,6,6,31,0,0,0,6,0,0,0,14,0,5
fc5c950890874744,2,0,3,4,2,0,2,4,2,0,5,4,18,0,0,0,7,0,0,0,10,6,16
05377c6dc8f142f2,2,1,1,3,1,0,0,0,0,2,0,1,9,0,0,0,3,2,0,0,5,4,82
16b2bf5a4d1e41b4,3,2,2,4,0,0,0,4,3,0,4,6,19,0,0,0,5,1,0,0,14,6,60
f5ad274d6d46446f,4,1,2,9,4,3,1,0,0,0,1,2,16,0,0,0,11,0,0,0,6,10,3
8deacc18ce074597,2,0,5,11,0,0,0,1,0,0,5,13,17,2,0,0,10,1,0,0,2,20,18
0b1754221d3a46de,1,0,3,5,4,6,0,1,0,0,2,3,10,0,0,0,7,0,0,2,6,4,74
8fb620d4febb4bed,6,0,4,13,0,0,0,15,0,12,0,25,48,0,0,0,4,0,0,0,3,4,12
9822219899a24e16,2,0,3,7,2,3,2,0,0,0,2,8,18,0,1,0,8,0,0,0,0,9,14
0da2341c431c4c0d,5,0,3,12,0,0,0,0,0,2,2,5,15,0,0,0,3,2,0,0,3,12,78
dc3df7f68f6144f5,5,0,6,17,0,0,0,0,0,0,2,6,20,0,0,0,16,0,0,0,14,2,73
a8e2141865c04746,0,0,9,19,0,1,0,0,0,0,12,17,22,2,0,0,10,0,0,0,0,19,38
803f32bdc19e4d06,4,1,1,6,0,1,0,1,1,1,1,2,14,0,0,0,8,1,0,0,12,37,39
d446d0d8ec4b4cb0,0,0,4,10,2,1,3,0,0,0,0,4,16,1,0,3,4,0,0,0,11,5,40
81174fff253c4503,0,0,5,12,3,0,0,0,0,0,8,9,17,0,0,0,11,0,0,0,0,8,80
e4f5d23655c642b6,4,3,7,13,21,0,0,0,0,0,4,6,13,0,0,0,6,0,0,0,14,4,50
6906eb6c250f485f,4,4,1,17,3,0,3,2,5,2,0,1,30,7,0,0,5,0,0,0,34,46,6
ebc0f32c5c554f0b,1,0,3,14,5,5,1,0,0,0,0,3,10,0,0,0,4,3,0,1,5,5,14
3bf9ce30cac14051,1,0,2,2,2,0,0,0,0,0,1,0,6,4,0,0,2,1,0,0,1,8,42
ca1c3ee5fabf4f87,2,0,1,2,1,0,0,0,0,0,0,2,10,0,0,0,5,3,0,2,2,12,57
06ec88dfaac74b15,5,1,5,16,5,0,0,0,0,0,6,15,27,0,0,0,9,3,0,0,2,11,26
478e560206de44da,4,3,3,5,1,0,1,0,0,0,1,3,19,0,0,0,11,0,0,0,10,6,16
530de5563b6c4f6a,6,3,5,10,10,6,0,2,0,0,2,6,30,0,0,0,9,0,0,0,12,0,41
